ng,מסגד,outskirts,פרוורים,meticulous,"מדוקדק, קפדני",impregnable,"בלתי חדיר, בלתי מנוצח",divergence,"שונות, סטייה",ponderous,"כבד מאוד, מסורבל, מגושם",demean,"להשפיל, לזלזל",turbulence,"מהפכה, ערבוביה",outrage,"1.זעם, שערוריה 2.עלבון",paternal,אבהי,synonym,"סינונים, מילה נרדפת",suceptible,"רגיש, פגיע",intricate,מורכב
loom,"1. מכונת אריגה 2. הגיח, הופיע",rumble,"הרעיש, הרעים",leveraging,מינוף,flagship,1. ספינת דגל 2. הדבר המובחר,resolve,"להחליט, לפתור",deception,"רמאות, הונאה",bulletin,"להודיע, לפרסם דו""ח רשמי",vacant,"פנוי, ריק",craft,1.מלאכה 2.מיומנות,inconspicuous,לא בולט,offspring,צאצא,defiance,"סירוב בתוקף, מרי",staunch,"נאמן, איתן"
perspire,הזיע,gleam,"הבריק, הבהיק, קרן",condemnation,"הרשעה, גינוי",swell,"התנפח, תפח",avaricious,"כילי, תאב בצע",pageantry,תצוגה מרהיבה,district,"אזור, מחוז",vacancy,1.חדר פנוי 2.ריקנות,tenant,דייר,emblematic,סמלי,dump,1.זבל 2.פלט של נתונים ממסד של נתונים,dispensable,"לא הכרחי, שניתן להסתדר בפניו",plaza,כיכר העיר
platitude,אמרה שטחית ונדושה,copper,נחושת,solidifies,"מיצק, גיבש",ditch,"לעזוב, לנטוש",ostentatious,"ראוותני, יומרני",pale,חיוור,doom,"אסון, אבדון",vague,"מעורפל, מטושטש",vengeance,נקמה,omniscient,יודע כל,stocky,"איתן, יציב",illusory,"מטעה, חמקמק",depleted,"מדולל, מרוקן"
lecture,"הרצאה, הטפת מוסר",scuffle,נאבק,loom,"1.הגיח, הופיע 2. טווה, רקם",commodity,סחורה,juxtapose,לשים בסמוך,pamphlet,"עלון, חוברת",dormant,"רדום, ישנוני",vagueness,"אי בהירות, טשטוש",retort,תשובה חריפה ושנונה,excessively,בצורה מוגזמת,untold,"1.שלא ניתן לתאר במילים 2.כביר, מופלג 3.שלא נאמר",heresy,כפירה,flurry,"התרגשות, סערה"
hosed,"1. השקה 2. רימה, עבד עליו בעיניים",ulster,מעיל כבד,allay,"הרגיע, שיכך",lard,שומן חזיר,barracks,מגורי חיילים,pan,"מחבת, סיר, תבנית",dote,לאהוב אהבה רבה,vain,"1.יהיר, שחצן 2.חסר ערך, חסר תועלת 3.לשווא",recoup,"לפצות, להחזיר כסף",responsive,מגיב,sustained,"ממושך, קבוע",insuperable,שלא ניתן להתגבר עליו,protruded,"בולט, מזדקר"
,,,,,,,,,,,,,,,,,,,,,,,,,
hideously,בצורה איומה וזוועתית,quest,"מסע, חיפוש",exemplary,"1. מופתי 2. מזהיר, מרתיע",capsized,"התהפך, הפך",susceptible,"רגיש, פגיע",pander,"לספק, להיכנע ל",downcast,"מדוכא, מושפל",in vain,"לחינם, לשווא",restrain,"לרסן, לעצור",delinquency,עבריינות,cautious,זהיר,complaisance,"אדיבות, נכונות לרצות אחרים",fluctuated,"תנודות, לעלות ולרדת"
maneuver,"תמרון, תרגיל",spare,"חס, חמל",sway,1. התנודד 2. השפיע,counterpart,1.עמית 2. העתק,tremendous,"עצום, גדול",quail,"רעד, פחד",drab,"אפרורי, משעמם",veil,"1.לכסות, להסתיר 2.להלביש רעלה 3.הינומה, רעלה 4.כיסוי",,,dull,1.משעמם 2.קהה,err,"שגה, טעה",foe,אוייב,pedal,לדווש
repulsive,דוחה,majesty,מלכות,pardon,"סלח, מחל",retaliation,"גמול, נקמה",buffoon,ליצן,taint,"לפגום, לזהם",dread,"לפחד, אימה",vengeance,נקמה,inked with,מסומן בדיו,,,cede,"העביר, מסר",wharf ,מזח,fasten,"לסגור היטב, להדק"
parlor,"דוכן, חנות",ransack,"בזז, חיפש וסרק",pardoning,חנינה (שנשיא נותן או אדם שביקשו ממנו סליחה),batch,"קבוצה, אוסף, מצבור",leopard,"פנתר, נמר",ulterior,"נסתר, כמוס",dreary,"עצוב, קודר",verdict,"פסק דין, פסיקה",immunized to,מחוסן,extent,"היקף, גודל",,,ease,להקל,pluck,"לקטוף, למרוט"
stark,"פשוט, ניכר",imprudent,"חסר זהירות, פזיז",resign,"התפטר, ויתר",jeopardize,סיכן,wander,לשוטט,vacate,"להתפנות, לפנות",droll,"משעשע, קומי",versatile,"מגוון, רב גוני",prearranged for,מסודר בראש,imbalanced,חוסר איזון,furtive,1.חשאי 2.ערמומי,leopard,"פנתר, נמר",augment,"מגביר, מגדיל"
gaudy ,"צבעוני מדי, צעקני",hindrance,"מניעה, מכשול",outcry,"זעקה, מחאה",waistline,קו מותן,detection,"זיהוי, בילוש",contamination,זיהום,dubious,מפוקפק,veteran,1.יוצא צבא 2.ותיק,venture,1.יוזמה 2.השקעה,weary,"לייגע, להלאות",seamless,"1.בלי תפרים, עשוי מקשה אחת 2.רציף, המשכי",implicit,1.מרומז 2.משתמע,obfuscates,מעורפל
glittering,"נצנץ, זהר",indebted,אסיר תודה,flank,איגף - נע סביב,bleach,"הלבין, חימצן",disinfect,לחטא,tender,"ברכות, רך, עדין",overdue,שעבר זמנו,vibrant,"מלא חיים, נמרץ",provocation,"פרובקציה, הסתה",cowardice,פחדנות,spool,1.גליל 2.קובץ שנשמרים בו דברים להדפסה,defamation,"השמצה, הכפשה",continuous,רציף
,,,,,,,,,,,,,,,,,,poached,"1.חלוט, חליטה 2.לצוד בצורה בלתי חוקית",indignation,התמרמרות או זעם בעקבות אי צדק,,,,
quotidian,"יום יומי, שגרתי",immensely,"לאין שיעור, בכמות עצומה",bolster,"תמך, חיזק",disinfectant,חומר חיטוי,turbulent,סוערת,fortify,"לבצר, לחזק",,,,,,,last,"1.אחרון 2.סופי, קיצוני",toss,"זרק, הטיל",implicate,לערב,enigmatic,"חידתי, מסתורי"
imps,"שד, דימון",recuperate,להבריא,venture,"יוזמה, השקעה",vapor,"אדים, קיטור",flammable,דליקה,soothed,"הרגיע, לשכך",elevate,"להגביה, להעלות",vigor,"חוזק, עוצמה",pasture,שדה מרעה,sought,1.לחפש 2.לבקש,besting,"גבר על, ניצח",deliberation,"שקילה, הרהור",perception,תפיסה
saner,"שפוי, מיושב",florid,פרחוני,turnout,שיעור השתתפות,gargled,לגרגר ,reverent,יראת שמיים,impede,"להפריע, לעכב",encircle,"לכתר, להקיף",vigorous,"איתן, נמרץ",occasion,1.אירוע 2.סיבה,theorem,תאוריה שהיא מוכחת,intoxicating,"משכר, מלהיב",defect,1.פגם 2.לערוק (לאוייב),superstitious,"לא מציאותי, דמיוני"
gravel,"חצץ, כיסה בחצץ",fiery,לוהט,clause,"פסקה, סעיף",tangles,הסתבך,meticulous,קפדנות,wince,להתכווץ,enigma ,"מסתורין, תעלומה",vindictive,נקמני,abbey,מנזר,plunge,"לצלול, ליפול",unabashedly,ללא בושה,outspread,"פרוש, מורחב",ablaze,בוער
recess,"הפסקה, פגרה",cordially,בלבביות,capitalize,1.הפיק תועלת ממשהו 2. השתמש באות גדולה,ingot,מטיל,partucles,חלקיקים,orge,ענק מפלצתי,entertain ,"לארח, לבדר",vintage,"1.לבצור, בציר 2.מובחר, משובח (שהערך שלו עולה עם הזמן)",rework,לעבד מחדש,pod,תרמיל,awestruck,מוכה יראת כבוד,dote,"להעריץ, להעריף אהבה",lull,"הרגיע, שיכך"
gnaw,כירסם,utmost,מיטב היכולת,expertise,"מומחיות, מיומנות",calf,גור של יונק לעיתים קרובות עגל,virtues,"מעלות, סגולות",shortfall,גירעון,eradicate,"להשמיד, למגר ",virtue,"1.מעלה, סגולה 2.יושר, צדק",rid,"להיפטר, להשתחרר",poise,"1.לאזן, לייצב 2.קור רוח",undertaken,"קיבל על עצמו, הבטיח, התחייב",assertion,"טענה תקיפה, הצהרה",deducted,"נוכה, הופחת"
mandate,"מנדט, צו רשמי",humdrum,"שגרה, משעמם",retention,"שמירה, החזקה",hermit,נזיר,obtained,השיג,compress,"לדחוס, לכווץ",eternal,"אינסופי, נצחי",vivacious,"מלא חיים, נמרץ, תוסס",ridden,1.חדור 2.נשלט על ידי,,,,,,,hauls,"לגרור, להוביל"
,,,,,,,,,,,,,,,,,,,,overruled,פסק נגד,lucid,"צלול בדעתו, נהיר",,
unrequited,ללא גמול (כשמדובר על חיבה ואהבה),pile,"ערם, צבר",compatriot,בן-ארצו,camouflage,הסוואה,thread,"פתיל, חוט",meek,"צנוע, עניו",evacuate,לפנות,void,"1.לבטל תוקף 2.לרוקן 3.חלל ריק, ריקנות",,,ponder,"להרהר, לשקול",misperception,תפיסה מוטעית,fundameltalist,"שמרן קיצוני, פונדמנטליסט",exempt,לפטור
whimsical ,"שובב, גמחני",singular,"יחיד, במינו",lament,"קונן, התאבן",ray,"קרן, אלומה",paste,1. להדביק 2. עיסה,mellow,"רגוע, רך",evaporate ,"להתאדות, להתנדף",volume,1.קול 2.נפח 3.כרך מסוים של ספר,rough,"מחוספס, גס ",porter,"שוער, מי שתפקידו לשמור על הכניסה",lampshade,"כיסוי למנורה, אהיל",convalesce,"להחלים, להתאושש",imperil,"לסכן, להעמיד בסכנה"
hogwash,"שטויות, זיבולי שכל",puffed,"נשף, התנשף",contingency,משהו שעלול לקרות,strip,1.רצועה 2. התערטלות,promptly,ללא עיכוב,amplify,להגביר,exile,"לגרש, להגלות",vouch,"1.להיות ערב, להתחייב 2.להעיד",salvage,"לחלץ, להציל",precaution,אמצעי זהירות,aboard,על כלי תחבורה כלשהו,deficient,"חסר משהו, נטול",repatriation,חזרה למולדת
riddance,השתחררות (כמו get rid from something) ,chagrin,"צער, דכדוך",defies,"התריס, התנגד",chanted,"זרה, שר",virtually,כמעט לגמרי,disperse,לפזר,excite,"להלהיב, לרגש",vow,"1.להישבע, לנדור 2.שבועה, נדר",sample,"לדגום, דוגמה",precede,"להקדים, לבוא לפני",sumptuary,חוקיים שקשורים לכספים,expenditure,"הוצאה, בזבוז",bolstered ,"חיזק, תמך"
robust,"חסון, איתן",gospel,בשורה,pedometers,מד צעדים,compile,"ליקט, אסף",riddle,"חידה, תעלומה",spew,להקיא,exclusive ,בלעדי,voyage,1.לנסוע 2.מסע 3.הפלגה,savage,"1.פראי, ברברי 2.לתקוף באכזריות",predecessor,1.אב קדמון 2.קודם בתפקיד,cloth,1.בד אריג 2.גלימת כומר,composite,"מורכב, משולב",recount,"1.לספור מחדש 2.לחדש, לתאר"
bland,"תפל, חסר טעם",breastpin,סיכת חזה,uncertainty,אי ודאות,timid,ביישן,furnished,רוהט,rooster,תרנגול,execute,"1.לבצע, להוציא לפועל 2.להוציא להורג",vulnerable,"פגיע, רגיש",scarf,צעיף,predominate,"לשלוט, להתלבט",concave,"קיעור, שיקוע",pest,"מטרד, מזיק",sect,"פלג, דת"
sapped,"החליש, עירער",shipwreck,הרס של ספינה,lingering,"ממושך, מתמהמה",shrill,"צורח, צווח",chanted,דיקלם,gazelle,צבי,expertise ,מומחיות,warehouse,"לאחסן במחסן, מחסן",scatter,"לפזר, פיזור",prepay,לשלם מראש,mesh,"1.רשת 2.סבך, מלכודת",,,interim,"זמני, לא קבוע"
,,,,,,,,,,,,,,,,,,pollen,אבקה (של צמחים),nuance,הבדל דק ועדין,jest,"בדיחה, מהתלה",,
,,combustion,"בעירה, דלקה",vibrant,"מלא אנרגיה, נמרץ",poles,קטבים,overstated,הגזים,tumult,המולה,astonishment,"תדהמה, פליאה",warn,"להזהיר, להתרות",scenario,"תרחיש, תסריט",prerequisite,תנאי מוקדם,epitaph,1.הספד 2.כתובה על מצבה,eclipse,"ליקוי, להאפיל",plumber,"שרברב, אינסלטור"
flare ,"להבה, רשף",vacancy,חדר פנוי,blowout,פנצ'ר,indulgence of,סיפוק של,outlasted,האריכו זמן יותר מ,repulsive,"דוחה, מגעיל",descend from,לנבוע ממקור כלשהו,wear,"1.ללבוש 2.להחזיק, לנשוא 3.להישחק, להתבלות ",scenery,1.נוף 2.תפאורה,,,rather than,ולא; במקום,nocturnal,"של הלילה, לילי",coerced,"אולץ, נכפה עליו"
copulate,להזדווג,ejaculated,פלט,equilibrium,"שיווי משקל, איזון",illumination of,הארה ל,skyrocketed,נסקו,enroll,להירשם,outline ,מתאר,wear off,"להיעלם, להתפוגג",scrabble,1.לשרבט 2.להיאבק 3.שבץ נא,pretext,"אמתלה, תירוץ",disguise,"תחפושת, מסווה",assimilate,"1.להטמיע, להיטמע 2.לעכל (מידע או מזון)",blabbering,"פטפט, קשקש"
besotted,מאוהב לגמרי ולא יכול להפסיק לחשוב עליה,vice,סגן,Doomsday,יום הדין,allusion to,אזכור ל,tube,צינור,chapel,כנסייה,sketches,סקיצות ,wear down,"לייגע, להתיש",screw,בורג,prevail,"1.לנצח, להמשיך להתקיים 2.לגבור",suction,"יניקה, שאיבה",jester,ליצן החצר,guardrails,"מעקה בטיחות, גדר הפרדה["
unsanctioned ,ללא אישור,widower,אלמן,stalled,"עיכב, השהה",ascension to,עליה בדרגה,breed,זן,acclaim,"להריע, לשבח",exploit,"1.להשתמש, לנצל 2.מעשה גבורה",wear out,"1.להתבלות, להישחק 2.לייגע, להתיש",scribble,"לשרבט, שרבוט",primate,יונק,afflict,"ייסר, הכאיב",no sooner.. than,"ברגע ש, איך ש",on par,שווה ערך
poise ,"קור רוח, נינוחות",amass,לצבור,pivotal,"מכריע, רב חשיבות",deposited,הפקיד,twig,זרד,bale,חבילה,export,"לייצא, ייצוא",welfare,"1.סעד, קצבת רווחה 2.רווחה",sculpt,לפסל,prime,1.ראשי 2.מיטב,avert,"1.הפנה, הסיט 2.מנע",bleach,"חומר ניקוי, אקונומיקה",cursory,"חפוז, באופן שטחי"
bungalow,בית נופש קטן ,interfere,התערב,consecration,"קידוש, הקדשה",detached,מנותק ,intent,כוונה,cast,"להטיל, להשליך",eavesdrop ,לצותת,widen,להרחיב,seal,"1.לאטום 2.חותמת, אישור 3.כלב ים",probe,"1.לחקור, לבחון 2.כלי לבדיקה או למחקר",string,1.חוט 2.רצף,credential,1.תעודה 2.מכתב המלצה,gulf,מפרץ 
roam,"לנדוד, לשוטט",tint,"צבע, גוון",footage,קטע של סרט,deferred,נדחה,content,תוכן,catalyze,לזרז תגובה כימית,,,,,,,,,strife,"עימות, מאבק, סכסוך",,,,
,,,,,,,,,,,,eject ,"לגרש, להוציא ",width,רוחב,self -centered,"אנוכי, מרוכז בעצמי",proclaim,להצהיר,,,,,dexterity,מיומנות
levity,"קלות ראש, אי יציבות",wedge,טריז (להפריד שני חפצים),footage,קטע של סרט,colonialist,מתיישב,extent,היקף,,,elated,"לרומם את המצב רוח, מרומם ",will,"1.לחפוץ, לרצות 2.להוריש 3.צוואה",self-destructive,בעל נטיה להרס עצמי,,,nonetheless,למרות זאת,prerogative,"זכות, זכות מיוחדת",intact,"שלם, ללא פגם"
chaise,כרכרה,groan,"גנח, נאנק",revert,חזר,lobbyist,"נציג, בעל אינטרסים",descent,מוצא,faint,"עמום, חלש, להתעלף",eloquent ,רהוט ,wind,"1.רוח, משב 2.שמועה 3.לעקל, לפתל",showcase,חלון ראווה,prodigy,"עילוי, מחוננות",furthermore,יתרה מכך,dexterity,"מיומנות, זריזות",lesion,"נגע, פצע"
tiresome,"מעייף, מיגע, מלאה",maintenance,"תחזוקה, מחייה",prestige,יוקרה,pluralist,מאמין בריבוי דעות,impregnable,"בלתי מנוצח, שאין להכניעו",fallible,עלול לטעות,elude,"לברוח, להתחמק",wink,"לקרוץ, למצמץ",shrug,למשוך בכתפיים,proficiency,מיומנות,otherwise,"ולא, אחרת",reparation,פיצוי,tantalizing,"מפתה, מעורר תיאבון"
