ng	מסגד
goggle	לבהות בתדהמה
imbroglio	תסבוכת
rile	להרגיז
accustomed to	רגיל למשהו
tranquility	רוגע
hen	תרנגולת
ruckus	רעש
voluptuous	חושני
wean	גרם לגמילה ממשהו
sheepish	מבויש
acquaint	להכיר
curiosity	סקרנות
dissident	פורש
tune	מנגינה
contemptuously	בזלזול
quasars	גוף שמימי דמוי כוכב שמעניק הארה מדהימה
stupefaction	תדהמה
reckon	לאמוד
malleable	כפיף
truancy	היעדרות
electrification	חשמול
queues	תור
telecast	שידור טליווזיה
bimonthly	דו חודשי
flabbergasted	המום
recreation	בילוי
uncaring	אדיש
seam	תפירה
abeyance	השהיה
impairments	ליקויים
acquittal	זיכוי
recollect	להיזכר
emaciation	כחישות
epicenter	מוקד הרעש
plump	שמנמנן
entrenched	מבוצר
interred	נקבר
Refinement	עדינות
febrile	מלווה בחום גבוה
torpid	רדום
ante	דמי הימורים
obesogenic	מעודד השמנה
immersed	שקוע
assail	התקיף
undernourished	סובל מתת תזונה
captivating	שובה לב
apoplectic	זועם
reverie	חלום בהקיץ
still	הרגיע
disfigured	השחית
subtracting	מחסר - עושה פעולת חיסור
heartsick	מדוכדך
recurrent	חוזר ונשנה
harping	לחפור על משהו (במובן של לחזור על אותו הדבר)
confabulate	שוחח
mammoth	ממותה
bluntly	באופן בוטה
galling	מרגיז
admonish	להזהיר
vaguely	במעורפל
on behalf of	בשם
how come	איך זה ש? על מה ולמה?
rejection	דחייה
dims	עמעום
aghast	מוכה תדהמה
grander	גדול
adrift	להיסחף
smuggled	הבריח
precursor	מבשר
bestotted	מאוהב (עד לכדי סחרור)
torrid	לוהט
extinguished	כיבה
vanguard	חיל חלוץ - חיילים ההולכים בראש
adorn	לייפות
civic	אזרחי
foil	לסכל
elaborate	משוכלל
inaugurate	חנך
gladden	לשמח
affiliated	לספח
willful	עיקש
ceramic	קרמיקה
mill	טחנה
gouge	לנקר
suppressed	הוסתר
omit	להשמיט
regress	לחזור לאחור
woven	ארוג
misguided	מוטעה
bisecting	לחצות
cortex	קליפה
gravited	נע תחת השפעת הכובד
aberration	סטייה (מהנורמה)
staid	מיושב
agglomeration	מצבור
ambivalent	דו ערכי
obliterated	השמיד
bounteous	שופע
occupants	דיירים
gurgling	גירגר
transgressed	הפר
acquiesce	להסכים
reminiscence	זכרונות
amorphous	חסר צורה
drifts	נספחים
ouster	להדיח
blotches	כתמים גדולים
jumble	עירבב
alacrity	בקיאות
ratty	בלוי
aggravate	להחמיר
anecdote	סיפור קצר ומשעשע
trepidation	חרדה
simmer	בישל על אש קטנה
innocence	תמימות
anathema	מתועב
contrive	להמציא
anomaly	חריגה או סטייה מהנורמה
observable	בולט
torte	סוג של עוגה
bulk	חלק הארי
extraterrestrials	חוצנים
antediluvian	מיושן
apartheid	הפרדה גזעית
undetectable	בלתי ניתן לזיהוי
fall short	לא עמד בציפיות
understudy	שחקן מחליף
adversaries	יריבים
acolytes	שולייה
insofar	כל שכן ש
apocryphal	מפוקפק
prickle	לעקצץ
remedy	לרפא
apathy	אדישות
confuses	בילבל
falloff	נפילה 2.הולך ופוחת
helm	מה ששולט על ההגה בסירה (בהשאלה זה ששולט בסיטואציה\במצב)
approbation	אישור
rivert	למסמר
foreclosure	החרמת רכוש
checkers	דמקה
oppose	התנגד
chilly	צונן
assiduous	חרוץ
magnify	להגדיל
archetype	אב טיפוס
glaze	לזגג
chore	מטלה
listlessnes	אדישות
cunning	ערמומיות
Elevation	הרמה
blandishment	חנופה
openmouthed	פעור פה
renounce	דחה 2.התנער 3. זנח
ballad	בלדה
panacea	תרופה לכל
shady	מוצל (יש לו צל) 2. מפוקפק
calumny	השמצה
cowed	לגרום לו לעשות דבר מה
banner	מודעה
pointed out to	הצביע על
moat	חפיר
diluted	דליל
fidget	להזיז ידיים ורגליים ללא מנוחה
calcium	סידן
singled out for	נבחר עבור
lacuna	מרווח
scruples	היסוס
clemency	רחמים
anguish	להתייסר
canvas	בד
abstinence	פרישות
submissive	כנוע
irrefutable	לא ניתן להפרכה
pathos	חמלה
petrif	שיתוק מפחד
canyon	נקיק באזור הררי
tacit	מרומז
hebetude	קהות
commemorates	הנציח
flue	פיר
ripen	להבשיל
antagonism	התנגדות
caravan	קרוון
stun	לזעזע
ooze	נזל
swiftly	מהר
contumacious	סרבן
blanch	להלבין 2. לחלוט
antagonize	להרגיז
consented	הסכים
carbonated	מוגז
vehement	תקיף
vicissitudes	תהפוכות
morally	באופן מוסרי
griddle	מחבת לאפייה
defenestration	השלכה מהחלון
carnival	קרנבל
settler	מתיישב
improvised	מאולתר
incorrigible	חסר תקנה
graduate	סיים תואר אקדמי
deleterious	מזיק
seethe	לרתוח (רתיחה של מים) 2. לרתוח מכעס
catalyst	זרז
entrusted to	מופקד על
jittery	מוטרד
equanimity	קור רוח
tiles	אריח
despot	עריץ
renunciation	התנגדות
cellular	תאי 2.סלולרי
stare	לנעוץ מבט
reactor	כור אטומי
engulf	השקיע
squint	פזילה
diatribe	התקפה מילולית
appealing	מושך תשומת לב
abdomen	בטן
chronic	כרוני
peg	תקע
fulminate	לפוצץ בחוזקה
quashed	מבוטל
quietude	שקט
clamorous	רועש
applaud	למחוא כפיים
cliche	קלישאה
iron out	לפתור סכסוכים
oriental	מזרחי
effrontery	חוצפה
cosmopolitan	אוניברסלי
throes	כאב גדול
smidgen	קמצוץ
transcending	להתעלות
sullen	קודר
egregious	בוטה (בצורה שלילית)
exclamatory	מודגש
excavated	לחשוף עתיקות
frescoes	פרסקו
stinging	עוקץ
conceit	יהירות
retrograde	נסוג לאחור
crunched	מרוסק
enervate	להחליש
gnarled	מסוקס
appraise	להעריך
vindicated	מוצדק
cologne	בושם
clogging	הכשיל
glean	אסף
greeted	בירך
pumice	אבן ספוג
ordinance	פקודה
dustbin	פח אשפה
resurrection	תחייה
spectre	רוח רפאים
elevated	מורם
compost	קומפוסט
sapphire	ספיר (אבן יקרה)
ovary	שחלה
erase	מחק (לזכור שזה גם פועל)
posthumous	שאירע לאחר המוות
execrable	מתועב
on behalf	מטעם (מישהו)
ardent	נלהב
beetle	חיפושית
context	הקשר
ripples	אדווה (קול חלש של מים)
pummeled	היכה
ejaculate	פליטה של זרע
endorsed	אישר
advocacy	תמיכה
expunge	למחוק
on account	בגלל
hangar	מוסך מטוסים
cowboy	בוקר
complies	מתאים ל
propulsion	הכוח שדוחף משהו קדימה
poignancy	חודר
decentralized	מבוזר
in excess	בנוסף
criterion	תנאי
absorbed	מושקע
comply	נענה
duds	בגדים 2.כישלונות\נפלים
cork	פקק
contemplation	התבוננות
cyanide	ציאניד
streamline	לייעל
ensnared	לכוד
strapping	חזק
fatuous	טיפשי
virtous	ישר
aspiration	חלום
assessment	הערכה
promiscuously	בצורה מופקרת
vexed	מרוגז
rebooting	אתחול מחדש
grandiloquent	נאמר על סגנון כתיבה או דיבור -מנופח
assent	להסכים
residually	באופן שמשהו נשאר
akin	דומה 2.קרוב
erodes	נשחק
spiky	מחודד
durability	קיימות
hackneyed	שחוק
sezied	תפס
pardoned	נמחל
concoct	להכין
ragdoll	בובת סמרטוטים
harangue	תוכחה
latent	חבוי
pith	הוציא את הגרעין
hurdles	משוכה
sculptor	פסל
iconoclast	פורץ מוסכמות
index	אינדקס
wraith	רוח רפאים
bout	תקופת פעילות
creed	אמונה
voracious	רעבתני
plummeted	צנח
amputee	קטוע אברים
masonry	בנאות
indefatigable	בלתי נלאה
laconic	לקוני
carried out by	מבוצע על ידי
irritable	נרגז
doze	לנמנם
keenly	בחדות
dissertations	חיבור מדעי בשביל לקבל תואר דוקטור
mischeif	שובבות
repent	להכות על חטא
lagoon	לגונה (מפרץ מים מנותק מים)
hucksters	רוכלים 2.נוכלים
adverse	מנוגד
inure	הרגיל
ferocity	פראות
these	הנחה
indomitable	עשוי ללא בבית חית
reproach	להאשים
litigation	התדיינות
equivalent	שווה ערך
gingerly	בזהירות
bachelorhood	רווקות
legerdemain	להטוט
narrated	קריין
drooling	מרייר
curtail	הפחית
mendacious	שקרי
eliciting	מעורר
uncanny	מוזר על טבעי
overhaul	אוברול
nefarious	מרושע
bring up	מעלים
reversal	הפיכה
monochromatic	חד גווני
entertained by	מבודר על ידי
weld	לרתך
belligerently	בצורה לוחמנית
excrement	צואה
obdurate	עקשן
keep out	מגנים מפני
resolutely	בנחישות
engulfed	השקיע
cahoot	שותפות
reprised	חזר על פעולה\קטע מסוים
infrared	תת אדום
obfuscate	להחשיך
sensibly	באופן הגיוני
bitter	מר
redudant	מיותר
marsh	ביצה
administration	שלטון
prevalence	שכיחות 2.השתררות
mummification	חניטה
replicate	לשכפל
spinoff	תוצר לוואי 2. סדרת המשך
layoff	השעיה
parsimony	קמצנות
bizarre	ביזרי
trance	טרנס
affectionate	מפגין חיבה
disfluencies	חוסר שטף בדיבור
dishevel	פרוע
peculary	מוזר
foetal	עוברי
pejorative	משפיל
blossom	ללבלב
competence	יכולת
nausea	מעורר בחילה
linear	קו לינארי
severance	הפרדה
perfidious	בוגדני
shortcoming	חיסרון
branch	להסתעף
retard	לדחות
slain	הרגו אותו
diffract	שבירה של אור
atrial fibrillation	פירפור לבבי
brine	מי מלח
precipitous	תלול
budget	לתקצב
retarded	מפגר
merge	ממזג
figurative	ציורי
embolus	תסחיף
evaporation	התאדות
encase	לסגור
recalcitrant	סרבן
misty	מעורפל
derisive	לעגני
Renovation	שיפור
sagacious	נבון
bury	לקבור
retreat	לסגת
inversion	היפוך
dismantled	מפורק
burial	קבורה
retrieve	לדלות מידע 2.להשיג בחזרה
locust	חגב
fluster	לבלבל
canopy	חופה
badge	אות הצטיינות
mortgage	משכנתא
discretion	שיקול דעת 2.איפוק
properties	תכונות
carpentry	נגרות
detainee	עציר
unmanned	בלתי מאוייש
shell	קליפה
renouncing	מוותרים 2.מתכחשים
pauperization	הדרדרות לעוני
confined	תחום
forsaken	עזוב
appendage	תוספת 2.זנב
mooing	געה (עשה קול של פרה)
perforations	ניקוב
pebble	חלוקי אבן
blatant	בוטה
impromptu	מאולתר
appraisal	הערכה
fulgurate	הבזיק
declutter	השליט סדר
innocently	בתמימות
revoke	לבטל
unified	איחוד
property	רכוש
bifurcation	פיצול
outpacing	התקדם מהר יותר
undertaker	קברן
concise	מתומצת
terminate	לסיים
continuum	רצף
excruciating	מייסר
souvenirs	מזכרות
mesmerizing	היפנט
artificially	באופן מלאכותי
irriatate	מגרה
liberated	משוחרר
conical	שיש לו צורה של קונוס
braces	גשר בשיניים
anaesthetized	הלחיש
apparel	לבוש
dazzling	מסנוור
ripe	בוגר
attests to	להעיד על
initiate	ליזום
simultaneously	בו זמני
topple	הפיל
payback	החזר
communique	הודעה פומבית
stunned	הימם
barrel	חבית 2.קנה של כלי נשק
ponders	מהרהר
reiterate	חוזר על משהו שוב ושוב
rule out	פסל
barren	עקר
conciliation	פיוס
blunders	לפשל
canted	נטה בשיפוע
miscaptioned	תיאור שגוי
allusion	רמיזה
subtract	לחסר
tip	קצה
tremors	רעידות
stimulate	גירה
bashful	ביישן
mystical	מיסטי
ridicule	צחוק
frame	מסגרת
snarf	לאכול או לשתות בתאוותנות
beckon	להזמין
suspense	מתח
certified by	הוסמך על ידי 2.אושר על ידי
disillusioned	מפוכח (יצא מהאשליה)
knit	סרג
caper	מעשה קונדס 2. סוג של צמח
unrepentant	שאינו מביע חרטה
warmongering	חרם מלחמה
monitor	צג
conducive	שתורם ל
disregard	להתעלם
downhearted	מדוכדך
bellicose	גורם לריב
creased	מקומט
threefold	משולש
conjure	העלה
trite	נדוש
dictated	להכתיב
littered	ללכלך
labyrinthine	מבוך
tumbler	כוס שתייה (ללא ידית)
embodiment	התגלמות
monotonous	אחיד
disruption	הפרעה
sifted	מנופה
Proprioception	ביחס
wee	קטנטן
bewildered	לבלבל
shuffle	לטרוף
condoned	סחל
attended	נכח
semicircular	בצורה של חצי מעגל
sensuality	חושניות
motif	מוטיב
promotional	קידום מכירות
balmy	נעים
heredity	תורשה
temperamental	נוטה למצבי רוח
bigotry	אי סובלנות
silk	משי
nitrogen	חנקן
immaculately	ללא רבב
indifferent	חסר עניין
frazzled	תשוש
bigot	לא סבלני
speculate	לסבור
naunce	הבדל דק
frowning	הזעיף את פניו
energize	המריץ
chunky	שמנמן
industrious	חרוץ
bilateral	דו צדדי
cartridges	מחסנית 2. תרמיל
permits	להתיר
woebegone	מדוכדך
stiff	חזק
optical	אופטי
usurpation	תפיסת שלטון בכוח
compatibility	תאימות
fixed	קבוע 2.מתוקן
pendulum	מטוטלת
admissible	קביל
orchestra	תזמורת
rehearse	לעשות חזרות
rims	שוליים
donned	לבש
late	מאוחר 2. מנוח
flail	לחבוט
agog	נלהב
suit	להתאים 2.חליפה 3.תביעה משפטית
inject	להזריק
waned	פחת
sectors	מגזר
loafers	מוקסינים
desert	לנטוש 2. מדבר
papyrus	סוג של צמח שהיו עושים ממנו מגילות (פפירוס)
means	אמצעי
sensation	תחושה (פיזית) 2.משהו שעורר התרגשות רבה
buoyant	שמסוגל לצוף 2. עליז
swelling	התפחה
pedagogy	מקצוע ההוראה
pauper	עני
tray	מגש
ruddy	אדמדם
bore	לשעמם 2. ליצור חור
systematic	שיטתי
pedant	קפדן
deficiencies	חוסרים
countryside	אזור כפרי
subordinated	משועבד
swivel	מסתובב
scalable	יכול להתרחב\לגדול
moonstruck	מוכה ירח
savor	להריח 2.לטעום 2.לתבל 3.להנות
hallmarks	סימני היכר
noteworthy	מעניין
supplemented	מתווסף ל
suffices	מספיק
hijack	לחטוף
scant	להגביל
portal	שער
flaw	פגם
arbitrator	בורר
refurbishment	שיפוץ
portrait	דיוקן
stated	צויין
soliloquy	מונולוג עצמי
weepy	בכיין
girder	קורה
mortify	לגרום למבוכה גדולה
scope	לבחון
propeller	מדחף
unanimously	פה אחד
confounding	מבלבלים
overwrought	עצבני
racquet	מחבט
sage	חכם
forbear	להבליג
clientele	קהל לקוחות\צרכנים
string along	להתלוות
brute	פראי
distinctive	מיוחד
convulsed	טלטל
flawless	מושלם (חסר טעויות)
carcinogen	חומר מסרטן
adherent	חסיד
prune	לגזום
rendering	הדרך שמשהו כתוב
loathsome	מעורר סלידה
scrap	להשליך
sitcom	קומדית מצבים
exquisite	מעולה
informative	מחכים
outwards	כלפי חוץ
sonnet	סונטה
helix	סליל
fathom	לחדור לעומק
nutritious	מזין
bulge	לבלוט
naughty	שובב
chiefly	בעיקר
dispatched	שיגר
chafe	לשפשף
jolt	לזעזע
antitrust	הגבל עסקי
abating	הפחית
soothing	מרגיע
incompetencies	חוסר יכולת
hind	אחורי
bulwark	חומת הגנה
trek	מסע
hasten	להחיש
competency	יכולת
accumulative	מצטבר
trilogy	טרילוגיה
hatch	לתכנן 2.לבקוע מביצה
fragrant	ריחני
subvert	לערער
habitability	תכונתם של מבנה או סביבה להיות מגורים
burglar	גנב
seep	לדלוף
triviality	חוסר עומק או חשיבות
havoc	הרס
inended	מיועד
usage	נוהג
crevasse	בקע
flaunt	להתרברב
butcher	לשחוט
hazard	סכנה
inadvertent	לא מכוון
verisimilitude	סבירות
buffer zone	אזור חיץ (אזור הפרדה בין 2 ישויות פוליטיות)
versatility	רב צדדיות
hazardous	מסוכן
timbre	טון
ravenous	מאוד רעב
bustle	לזרז 2.המולה
watt	ואט
outsourced	להעביר לגורם שלישי
roaming	שוטט
implode	להתרסק כלפי פנים
headgear	כיסוי ראש
assignment	משימה
condolences	תנחומים
abhor	לתאב
cartoon	סדרה מצויירת
sheer	להימנע
pertained	קשור ל
unanimity	קונצנזוס
cunningly	בערמומיות
buoys	מצופים
splenetic	רגזן
carve	לגלף
shift	לזוז
economize	חסך
pernicious	הרסני
follow suit	הלך בדרכו
obsess	העסיק משהו בצורה מוחלטת
cashier	גזבר
reflect	שיקף
kinetic	קינטי
poleaxe	גרזן - חנית (מימי הביניים)
housebound	מרותק לביתו
rectify	תיקן
scratches	שריטות
behest	פקודה
exuberance	שפע
arraigne	העמיד לדין
disburse	שילם
maltreat	להתעלל
chairman	מנהל ישיבה
extermination	השמדה
Perversely	באופן מעוות
insubordination	מרדנות
morbidly	באופן חולני
emancipation	שחרור
stagnant	עומד
chatter	לברבר
abomination	נבלה
legitimate	לגיטימי
irredeemably	לא ניתן לתיקון
ardors	התלהבות
craftsmanship	אומנות
rear	אחורי
polymath	מלומד
ramshackle	רעוע
lay-offs	פיטור
cheek	לחי 2. חוצפה
shriek	לצרוח
curtain	וילון
immediacy	דחיפות
desertification	מידבור (הפיכת אזור יבש)
inestimable	שאין להעריכו
hijacked	נחטף
loomed	הגיח
doll	בובת צעצוע
Crucially	מכריע
tuberculous	שחפת
artisanal	ששייך או קשור לעבדתו של אומן
impending	עומד להתרחש
monsoon	רוחות וגשמים עונתיים עזים
node	קשר
arise	להתעורר
genie	שד
impenetrable	אטום
nor	גם לא
conceding	הודה 2. ויתר
militant	בעל אופי לוחמני
slack	להדלדל 2.להתרשל 3.רפוי
imperative	הכרחי
stand-still	נעצר
hump	דבובשת
vigilance	ערנות
envisages	חזה
expelled	גירש
ape	קוף אדם
imperfection	פגם
pleasantly	באופן נעים
shred	לקרוע
monetize	הפך משהו למקור רווח
quadruped	הולך על 4
rationally	רציונלי
equanimous	רגוע
hyena	צבוע (בעל חיים)
several	אחדים
custardy	פודינג
necessities	צרכים
soil	ללכלך 2.אדמה
simmered	התבשל
onlooker	משקיף
throb	פעם
condensation	התעבות
solemn	רציני 2.מעורר כבוד
odor	ריח
imprint	חותם
presides over	יושב ראש
bowel	מעי
quotas	מכסה
rummage	נבר
detected	לזהות
construct	לבנות
old-fashined	מיושן
improperly	שלא כראוי
looks into	בדק
hoist	הרים
somber	עצוב
parade	מצעד
takes after	לרשת תכונות מ-
banquets	משתאות
gripper	תפסנית
awe inspiring	מעורר יראת כבוד
conclude	להסיק 2. להסתיים
sooth	להרגיע
pearl	פנינה
unifying	להאחיד
confer	להתייעץ 2.להעניק
dichromacy	עיוורון צבעים
thereof	מזה
cradle	עריסה 2.ערש התרבות (מאיפה שתרבות מתפתחת)
sludgy	רפש
administrative	ניהולי
inception	התחלה
subatomic	תת אטומי
abnormality	חריגות
repugnance	סלידה
testament	עדות
rev	הסתובב
reflection	הרהור
sore	דלקת
broadest	הרחב ביותר
fortified	מבוצר 2.  מחוזק
grumble	רטן
repetition	חזרה
controversy	מחלוקת
surfeit	כמות שהיא גדולה מדי או מספיקה
feces	צואה
cassette	קלטת
cough	להשתעל
replica	העתק מדויק
dielectric	חומר מבודד
firmly	בתוקף
incense	קטורת 2.להכעיס
browing	השחים
kiosk	קיוסק
exported	מיוצא
caramelization	הפך לקרמל
strata	רבדים
galvanized	דירבן
dense	צפוף
retract	לחזור בו
resume	להמשיך
entrench	התחפר
deportations	גירוש
insignia	סמל
stacked	נערם
incur	להביא על עצמו (משהו שלילי)
intrusive	חודרני
chauvinisim	שובניסטיות
recuperated	החלים
pitched	נזרק 2. הוצע
implied	מרומז
sips	לגימות
relinquishing	וויתר
downturn	שפל
hardware	חומרה
forged	נוצרו
cap	פקק 2.כובע
nimble	זריז
impetuosity	פזיזות
dam	חסם
lend	להשאיל
affirate	שותף
sheet	גיליון
indispensible	הכרחי
chamois	יעלים
repartee	תשובה שנונה
petals	עלה כותרת
slash	לחתוך
induce	להשפיע
mortal	בן תמותה 2.חריף
grievances	טרונייה
imperceptible	בלתי אפשרי להרגיש אותו
spunk	אומץ לב
sequester	החרים
situate	למקם
cease	להפסיק
sleeve	שרוול
inept	בלתי מיומן
chink	סדק
temple	מקדש
inexpensive	זול
valor	אומץ
tent	אוהל
infest	לשרוץ
augmenting	להגדיל
exerted	הפעיל
eradicated	נמחק
clerical	פקידתי
dunk	טבל
spark	להצית
violin	כינור
lookout	תצפית 2.דאגה
canteen	מימייה
disinhibition	לא יכול להתאפק
allowance	דמי כיס
relapses	חזר לסורו
chalice	גביע
outgrown	התפתח במהירות 2.נגמל מדפוס התנהגות
trapezoid	טרפז
chant	לזמר
groove	חרץ 2.מנהג
imprisonment	מאסר
lozenge	מעוין
nobility	אצולה
absence	לספוג
inhabit	לאכלס
flinch	נרתע
counterparts	מקבילהם
choir	מקהלה
splendid	מצויין
accountant	רואה חשבון
predicament	מצב קשה או מביך
inducing	מעורר
foliage	עלים
permafrost	שכבת קרקע שקפואה תמיד
insidious	חתרני
immerse	להטביל
convened	התכנס
Tapestry	שטיח קיר 2.תמונת מצב מורכבת
phishing	השגה במרמה מידע בעל ערך
backward	אחורה
inherit	לרשת (לקבל בירושה)
retreat into	נסיגה לתוך
went beyond	עבר מ
forester	יערן (מומחה בטיפול עצי יער)
overgrown	גדל יתר על המידה
adolescent	מתבגר
inhibit	לעכב
diverting	משעשע 2.מסיח את הדעת
conflated	התמזגו
anyhow	בכל מקרה
inland	יבשה
Nuanced	מעודן
layered	רבוד
vocation	שליחות
sanitized	חיטא
instance	דוגמה
scrumptious	טעים 2.מעולה
reenacting	לשחזר
trampled	רמס
surpass	עלה על (מלשון עקיף)
repository	מקום אחסון
ash	אפר
suppress	דיכא
concealment	הסתרה
veal	בשר עגל
sap	להוציא מוהל מעץ
bowl over	להיות מאוד מופתע
await	להמתין
insulate	לבודד
moth	עש
terminal	סופני
abominable	מזעזע
cohesiveness	לכידות
backing	גיבוי 2.ליווי מוזיקלי
daring	נועז
Until this matter	עד שהעניין הזה
additive	תוסף
coherent	קוהרנטי
intake	קליטה
cut out	להחסיר
winding	מתפתל
battlefront	חזית הקרב
interference	הפרעה
perspiration	הזעה
bondage	עבדות
concert	קונצרט
bay	מפרץ
interject	להתערב בשיחה
intravenous	תוך ורידי
sobriety	צלילות דעת (לא שיכור - פיקח)
disproportionate	לא הולם
matruachal	שנשלט על ידי נשים
recur	לקרות שוב
commonplace	רגיל
bicultural	דו תרבותי
intermit	להפסיק זמנית
divulge	לגלות סוד
evanescent	חולף
scoffed	לעג
aristocrat	אציל
interpersonal	בין אנושי
intrusions	התערבות
raved	השתולל
disrupt	שיבש
ignominy	קלון
booth	תא
caregivers	מטפלים
boil	הרתיח
indignity	השפלה
compassion	חמלה
branding	מיתוג
designated	מיועד
inmost	הפנימי ביותר
convergence	התכנסות
breadth	רוחב
blithe	קליל 2.לא מתחשב
advert	התייחס ל_ 2. מודעה
delude	להשלות
pressing	דחוף
complacent	שאנן
inverse	הפוך
neonates	ילודים
subtle	דק
invert	להפוך
concentrated	מרוכז 2.התרכז
advisability	כדאיות
indeterminate	לא מוגדר
bridges	מגשר
merriment	עליזות
certainly	בהחלט
irradiate	להקרין
curative	מטפל
jabbering	קשקש (דיבר בצורה מהירה ולא מובנת)
wager	התערב
conditionally	בתנאי ש
indisposed	לא חש בטוב
irregularity	אי סדירות
senior	בכיר
dumbfounded	נדהם
sinking	שוקע
mystify	להוות תעלומה
superfluous	מיותר
bettor	מהמר
broody	מהורהר
supermacy	עליונות
irreversible	בלתי הפיך
decency	הגינות
utilised	מנוצל
abashed	נבוך
supreme	נעלה
effervescent	מלא שמחת חיים
makeshift	תחליף
proposition	טענה
epilogue	אפילוג
discernment	הבחנה
incontestable	ללא עוררין
ruthless	חסר רחמים
idyll	תקופת זמן מושלמת
crawl	לזחול
lace	לשרוך
teem	שפע
zodiac	גלגל המזלות
remuneration	פיצוי
presume	סבר
absentminded	מפוזר
concurrence	הסכמה כוללת
infatuation	התאהבות
rationed	הקציב
pun	משחק מילים
foretell	לנבא
concurrent	מתרחש בו זמנית
dart	חץ 2.לזנק
laxness	ריפיון
Possessed	אחוז דיבוק
condemn	להרשיע
swear	להישבע 2.לקלל
encroachment	הסגת גבול
frenzied	משוגע
atdor	להט
lineage	שושלת יוחסין
randomized	מאורגן בסדר אקראי
clandestine	חשאי
truculence	עצבנות
condescending	להתייהר
heartfelt	כן
restorative	משקם
proclivity	נטייה
campaign	קמפיין
ingenuity	תבונה
pallid	חיוור
distracted	מפוזר
plaintive	עגמומי
litigate	לטעון ולהתדיין בבית משפט
vest	העניק זכויות 2.לבש
abbreviated	מקוצר
motorcade	שיירת רכבים
lulled	הורגע
squander	בזבוז על פאר
dice	קוביות
interdependent	מצוי בתלות גומלין
impostor	מתחזה
groggy	מבולבל
confinement	מאסר
locomotion	ניידות
coordinating	תיאם
credence	אמינות
enunciate	לבטא
long-awaited	שחיכו לו זמן רב
morbidity	חולי
Red flag	דגל אדום (בהשאלה סימן שמשהו רע הולך לקרות)
guzzle	לשתות משהו הרבה ומהר
imitate	לחקות
disruptive	משבש
romp	להשתובב
band	להקה
outflow	זרימה (החוצה)
inconceivable	לא מתקבל על הדעת
innately	מיסודו
oppressive	מעיק
sepulchral	שקשור לקבר או למוות
confute	להפריך
conditioned	הוכשרו
long-winded	מייגע ומעייף בשל אורכו
conclusively	באופן משכנע
belied	הפריך
flux	זרם
pension	פנסיה
Predictive	מנבא
clip	לקצץ
blindside	להפתיע (מישהו בדבר שלילי)
hurried	זורזו
lubricate	לסוך
reminiscent	מזכיר
annotation	הסבר
imprecision	חוסר דיוק
nervy	חצוף
congregation	קהל
downside	חיסרון
crescent	חרמש
dunes	דיונות
incorporates	כלל
dwell	מתגורר
offervescent	תוסס
panes	חלונות
splotch	כתם
inquisition	אַינקווזיציה
jaunty	קליל ושופע ביטחון
drown	להטביע
navale	שקשור לחיל הים
rely	לסמוך
paroxysmal	קשור להתקף פתע
feigning	מעמיד פנים
akward	מגושם
despondent	מדוכדך
axles	צירים
gunnery	תותחנות
impeded	מעכב
loincloths	אזור חלציים
canal	תעלת מים
dynasty	שושלת
markedly	במידה ניכרת
tombstone	מצבה
stretch	להימתח
notarized	לאשר
buggy	כרכרה 2.מלא בחרקים
cabaret	מקום בידור במסעדה או בבית קפה
miffed	נעלב
fillings	סתימות
squatters	פולש
pen	עט 2. דיר
charm	קסם
inserted	הוכנס
mash	למעוך
bolt	בריח 2. ברח
convincingly	באופן משכנע
invective	קללות
inhabited	יושב (כמו תושב)
matrimony	נישואין
entertained	מבודר (שבידרו אותו)
hallucinations	הזיות
frosts	כפור
lever	דוושה
mediate	לתווך
cabin	תא
grating - Noun	סבכה שכבה שיוצרת חציצה
buds	ניצנים
crestfallen	מדוכדך
console	לנחם
mend	לתקן
implicitly	מרומז
grating - ADJ	צורם
Sanctioning	סנקציות
mercenary	שכיר חרב
stomp	רקע (עם הרגל)
convention	אמנה
parsnip	גזר לבן
adjudicator	פוסק
civilize	לתרבת
edicts	גזירות
lining	בטנה
maddening	מעצבן מאוד
pitfall	מלכודות
querulous	נרגן
condoning	סליחה
felony	עבירה
mingle	לערבב
resembled	דימה
pleas	תחינות
constituent	מרכיב 2. בוחר
plotting	תכנון
firsthand	ממקור ראשון
misdeed	מעשה לא טוב
voltage	מתח (חשמל)
outperformed	עלה בביצועו על אחר
refrigerant	מקרר
suggestive of	מזכיר את
misinterpret	לפרש שלא כהלכה
evocation	תזכורת
perimeter	היקף
module	מודול
demonstrate	להפגין
novena	תפילה רצופה של 9 ימים
rip - into	לתקוף במילים קשות
converge	להתכנס
pelvic	אגני
sanctuaries	מקדשים 2. מקלטים
exacerbation	החרפה
sychronize	לתאם מבחינת זמנים
hospitality	הכנסת אורחים
flush	לשטוף במים 2.להסמיק
auxiliary	עזר
miscellany	קובץ של פריטים שונים
fog	ערפל
to come by	להשיג
recourse	פנייה
scrawny	כחוש
fertile	פורה
cordial	ידידותי
readily	מיד 2.רצון
folk	עם
causation	סיבתיות
mounted	העפיל
reassuring	מרגיע
allocate	הקציב
reaped	לקצור
corrosion	קורוזיה
surveyor	מודד
bodily states	מצב גופני
wistfulness	עצבות
incubation	דגירה
intercede	להתערב
confrontation	חיכוך
segments	מקטעים
canine	כלב
resolved	החליט
doting	מישהו שמרעיף אהבה ותשומת לב
gymnastics	התעמלות
tractor	טרקטור
cognitive	הכרתי
